Key,Id,Chinese (Traditional)(zh-TW),English(en),Japanese(ja)
"確認",3623289126912,"確認","Confirm","決定"
"工程建設",4794401718272,"工程建設","Building","工事建設"
"傳奇工程",4884457619456,"傳奇工程","Bonus","伝説建設"
"遭遇強敵!!!",4899867492352,"遭遇強敵!!!","Dangerous!!!","強敵出現!!!"
"連發",5035309957120,"連發","Combo","連射"
"衝擊炮充能",5149332111360,"衝擊炮充能","Charging","チャージ"
"衝擊爆破!",5172593721344,"衝擊爆破!","Impact Blast!","衝撃爆破！"
"顯示詳細資訊",5241124454400,"顯示詳細資訊","Show Details","詳細情報を表示"
"湮滅",5294949957632,"湮滅","Erase","抹消"
"處決",5308002631680,"處決","Execute","処刑"
"修補",5319981563904,"修補","Repair","修復"
"溢出代價",5370501955584,"溢出代價","Overflow Cost","オーバーフローコスト"
"衝擊爆破",5408963723264,"衝擊爆破","Impact Blast","衝撃爆破"
"重玩",5597216669696,"重玩","Retry","リトライ"
"離開",5611611521024,"離開","Exit","終了"
"取消",5624110546944,"取消","Cancel","キャンセル"
"查看建設狀態",5708357337088,"查看建設狀態","View Status","建設状況を確認"
"返回",5785188597760,"返回","Back","戻る"
"放棄",5810538971136,"放棄","Abandon","放棄"
"防守成功!",6562351185920,"防守成功!","Defense Successful!","防衛成功！"
"中斷遊戲並返回標題?",6579061293056,"中斷遊戲並返回標題?","Quit game and return to title?","ゲームを中断してタイトルに戻りますか？"
"城堡失守",6599143620608,"城堡失守","Castle Fallen","城が陥落した"
